secID,publishDate,endDate,tRevenue,revenue,COGS,operateProfit,TProfit,NIncome,NIncomeAttrP,basicEPS,sellExp,adminExp
000400.XSHE,2023-04-08,2021-12-31,11990697379.23,11990697379.23,9522419395.38,924132104.08,961299170.28,857129616.47,724373048.45,0.7184,388533975.8,1147413353.45
000400.XSHE,2022-04-26,2021-12-31,11990697379.23,11990697379.23,9522419395.38,924132104.08,961299170.28,857129616.47,724373048.45,0.7184,388533975.8,1147413353.45
000408.XSHE,2025-03-29,2024-12-31,3250800389.88,3250800389.88,1790881790.62,2855467415.03,2708528965.76,2569273691.44,2579985938.8,1.64,51465244.48,253833995.87
000408.XSHE,2025-03-29,2023-12-31,5225721163.41,5225721163.41,1816172924.47,4063031167.95,3866309898.9,3412354426.47,3419880869.14,2.18,49647885.27,304685051.11
000408.XSHE,2024-03-21,2023-12-31,5225721163.41,5225721163.41,1816172924.47,4063031167.95,3866309898.9,3412354426.47,3419880869.14,2.18,49647885.27,304685051.11
000408.XSHE,2024-03-21,2022-12-31,8193913458.11,8193913458.11,1475032302.96,6632185351.7,6593009612.4,5654971920.07,5654971920.07,3.57,44922699.72,354773571.31
000408.XSHE,2023-03-10,2022-12-31,8193913458.11,8193913458.11,1475032302.96,6632185351.7,6593009612.4,5654872860.71,5654872860.71,3.57,44922699.72,354773571.31
000408.XSHE,2023-03-10,2021-12-31,3622594323.02,3622594323.02,1491573298.97,1796197631.45,1694922647.69,1427339931.06,1427339931.06,0.73,45355363.7,262028943.85
000408.XSHE,2022-03-11,2021-12-31,3622594323.02,3622594323.02,1491573298.97,1796197631.45,1694922647.69,1427339931.06,1427339931.06,0.73,45355363.7,262028943.85
000423.XSHE,2025-03-18,2024-12-31,5920785955.41,5920785955.41,1633041966.1,1848746985.26,1855991392.13,1557172058.58,1557000775.65,2.42,1973114130.13,619716078.09
000423.XSHE,2025-03-18,2023-12-31,4715265729.5,4715265729.5,1403111125.67,1360291356.99,1362793436.57,1151848679.66,1150878550.46,1.79,1486119504.9,550469949.55
000423.XSHE,2024-03-22,2023-12-31,4715265729.5,4715265729.5,1403111125.67,1360291356.99,1362793436.57,1151848679.66,1150878550.46,1.79,1486119504.9,550469949.55
000423.XSHE,2024-03-22,2022-12-31,4041818347.54,4041818347.54,1281215156.24,914920504.02,912010937.01,779223184.63,779998116.1,1.21,1317672521.03,524857951.88
000423.XSHE,2023-03-25,2022-12-31,4041818347.54,4041818347.54,1281215156.24,914920504.02,912010937.01,779223184.63,779998116.1,1.21,1317672521.03,524857951.88
000423.XSHE,2023-03-25,2021-12-31,3848985686.56,3848985686.56,1450932418.28,568753674.07,571068043.43,438913503.77,440439963.6,0.68,1013738445.89,520906348.11
000423.XSHE,2022-03-26,2021-12-31,3848985686.56,3848985686.56,1450932418.28,568753674.07,571068043.43,438913503.77,440439963.6,0.68,1013738445.89,520906348.11
000425.XSHE,2025-04-29,2024-12-31,91659763823.82,91659763823.82,70990780894.9,6529329912.09,6582226650.92,5983454032.59,5976118332.51,0.51,5309453470.17,6555260893.19
000425.XSHE,2025-04-29,2023-12-31,92848220501.93,92848220501.93,73532949275.39,5640499062.7,5677633345.29,5236096485.02,5326470288.96,0.45,5233817313.62,6705469128.75
000425.XSHE,2024-04-30,2023-12-31,92848220501.93,92848220501.93,72064271966.44,5640499062.7,5677633345.29,5236096485.02,5326470288.96,0.45,6702494622.57,6705469128.75
000425.XSHE,2024-04-30,2022-12-31,93817122393.59,93817122393.59,74855161038.69,5082831501.0,5012731082.26,4301676730.76,4312439963.96,0.36,6765495054.88,6366851623.26
000425.XSHE,2023-04-29,2022-12-31,93817122393.59,93817122393.59,74855161038.69,5082831501.0,5012731082.26,4294665959.17,4307097069.54,0.36,6765495054.88,6366851623.26
000425.XSHE,2023-04-29,2021-12-31,116796193605.64,116796193605.64,91729972059.44,9094241465.9,9229901319.44,8263552908.33,8207957892.0,0.69,9490578223.06,6319817407.51
000425.XSHE,2022-04-19,2021-12-31,84327579230.19,84327579230.19,70630936127.71,6181912556.33,6287655665.38,5647222526.38,5614606145.93,0.7052,3930615988.6,3895844758.65
000488.XSHE,2025-04-01,2024-12-31,22729474852.76,22729474852.76,22144828668.43,-7820734574.51,-7853191114.74,-7793019417.29,-7410784491.65,-2.53,241171109.12,1831500728.42
000488.XSHE,2025-04-01,2023-12-31,26608570228.2,26608570228.2,24445486299.93,-1693644319.55,-1709704401.81,-1326642417.86,-1281289649.82,-0.45,230999637.43,1854739480.14
000488.XSHE,2024-03-29,2023-12-31,26608570228.2,26608570228.2,24445486299.93,-1693644319.55,-1709704401.81,-1326642417.86,-1281289649.82,-0.45,230999637.43,1854739480.14
000488.XSHE,2024-03-29,2022-12-31,32004367320.91,32004367320.91,27373725707.0,156218663.96,182269348.0,317362691.41,189290120.82,0.03,242181274.09,2040828243.44
000488.XSHE,2023-03-31,2022-12-31,32004367320.91,32004367320.91,27373725707.0,156218663.96,182269348.0,317362691.41,189290120.82,0.03,242181274.09,2040828243.44
000488.XSHE,2023-03-31,2021-12-31,33019812294.14,33019812294.14,25222275795.28,2281458984.38,2306180309.99,2089684021.45,2065513108.71,0.56,293509692.51,2396127107.0
000488.XSHE,2022-03-31,2021-12-31,33019812294.14,33019812294.14,25222275795.28,2281458984.38,2306180309.99,2089684021.45,2065513108.71,0.56,293509692.51,2396127107.0
000513.XSHE,2025-03-27,2024-12-31,11812338854.68,11812338854.68,4081106956.93,2844400261.25,2806146267.57,2304484952.49,2061095803.97,2.24,3254638504.7,1646413067.98
000513.XSHE,2025-03-27,2023-12-31,12430038325.82,12430038325.82,4465473361.1,2415108489.87,2382666546.27,1897601012.24,1953650833.28,2.1,3598152721.87,1988969606.54
000513.XSHE,2024-03-29,2023-12-31,12430038325.82,12430038325.82,4465473361.1,2415108489.87,2382666546.27,1897601012.24,1953650833.28,2.1,3598152721.87,1988969606.54
000513.XSHE,2024-03-29,2022-12-31,12629579047.66,12629579047.66,4461283076.09,2350555617.68,2330550610.2,1955577382.63,1909407687.93,2.04,3887392091.49,2083380148.28
000513.XSHE,2023-03-31,2022-12-31,12629579047.66,12629579047.66,4461283076.09,2350555617.68,2330550610.2,1955540213.06,1909391664.63,2.04,3887392091.49,2083380148.28
000513.XSHE,2023-03-31,2021-12-31,12063863272.98,12063863272.98,4253087484.45,2266989994.84,2245688829.75,1952101168.93,1775683251.01,1.9,3883874503.06,1809883491.72
000513.XSHE,2022-03-29,2021-12-31,12063863272.98,12063863272.98,4253087484.45,2266989994.84,2245688829.75,1952101168.93,1775683251.01,1.9,3883874503.06,1809883491.72
000519.XSHE,2025-04-24,2024-12-31,4569178640.7,4569178640.7,3872778029.59,-375377062.25,-362192350.14,-367843281.72,-327325955.94,-0.2351,40616646.6,934395358.34
000519.XSHE,2025-04-24,2023-12-31,6115915153.49,6115915153.49,4144813794.5,879357298.25,901770703.21,828330287.82,828330287.82,0.5948,44392188.18,1002024410.16
000519.XSHE,2024-04-20,2023-12-31,6115915153.49,6115915153.49,4143275918.8,879357298.25,901770703.21,828330287.82,828330287.82,0.5948,45930063.88,1002024410.16
000519.XSHE,2024-04-20,2022-12-31,6713593037.1,6713593037.1,4774874453.32,948953251.34,969218016.46,819493390.26,819493390.26,0.5885,62862863.43,968145143.47
000519.XSHE,2023-04-11,2022-12-31,6713593037.1,6713593037.1,4774874453.32,948953251.34,969218016.46,819071657.13,819071657.13,0.5882,62862863.43,968145143.47
000519.XSHE,2023-04-11,2021-12-31,7513662651.85,7513662651.85,5955105993.03,628175158.03,603956152.8,485335353.38,485335353.38,0.3485,62323457.32,867624615.35
000519.XSHE,2022-04-20,2021-12-31,7513662651.85,7513662651.85,5955105993.03,628175158.03,603956152.8,485335353.38,485335353.38,0.3485,62323457.32,867624615.35
000519.XSHE,2022-04-19,2021-12-31,7513662651.85,7513662651.85,5955105993.03,628175158.03,603956152.8,485335353.38,485335353.38,0.3485,62323457.32,867624615.35
000528.XSHE,2025-03-29,2024-12-31,30062709198.12,30062709198.12,23298540518.39,1619651271.39,1651999033.34,1386828149.98,1327039490.08,0.6824,2365986781.38,1993642381.18
000528.XSHE,2025-03-29,2023-12-31,27519122309.99,27519122309.99,22110612888.95,1176547748.06,1209241422.39,941629509.93,867811519.99,0.4448,1930123007.77,1720369788.19
000528.XSHE,2024-03-30,2023-12-31,27519122309.99,27519122309.99,21789823367.29,1176547748.06,1209241422.39,941629509.93,867811519.99,0.4448,2250912529.43,1720369788.19
000528.XSHE,2024-03-30,2022-12-31,26479736961.83,26479736961.83,22030572646.53,768136482.69,790165893.32,646862956.0,599326029.8,0.3093,1820602635.13,1479695799.19
000528.XSHE,2023-04-28,2022-12-31,26479736961.83,26479736961.83,22030572646.53,768136482.69,790165893.32,646862956.0,599326029.8,0.31,1820602635.13,1479695799.19
000528.XSHE,2023-04-28,2021-12-31,28700729485.25,28700729485.25,23685817438.24,1239851160.06,1263117817.38,1025023918.67,997262491.18,0.51,2039944413.33,1522504426.99
